Ejercicio|Sociedad|Fecha de documento SAP|CAR SUNAT SAP|CAR SUNAT Archivo|Mensaje|
2026|1007|02.06.2026|2053799558103B8050000010164|2053799558103B8050000010164|Registro OK.|
2026|1007|02.06.2026|2053799558103B8050000010165|2053799558103B8050000010165|Registro OK.|
2026|1007|02.06.2026|2053799558103B8070000025193|2053799558103B8070000025193|Registro OK.|
2026|1007|02.06.2026|2053799558103B8050000010166|2053799558103B8050000010166|Registro OK.|
2026|1007|02.06.2026|2053799558103B8070000025194|2053799558103B8070000025194|Registro OK.|
2026|1007|02.06.2026|2053799558103B8060000024232|2053799558103B8060000024232|Registro OK.|
2026|1007|02.06.2026|2053799558103B8070000025191|2053799558103B8070000025191|Registro OK.|
2026|1007|02.06.2026|2053799558103B8070000025192|2053799558103B8070000025192|Registro OK.|
2026|1007|02.06.2026|2053799558103B8060000024230|2053799558103B8060000024230|Registro OK.|
2026|1007|02.06.2026|2053799558103B8070000025220|2053799558103B8070000025220|Registro OK.|
2026|1007|02.06.2026|2053799558103B8050000010162|2053799558103B8050000010162|Registro OK.|
2026|1007|02.06.2026|2053799558103B8060000024233|2053799558103B8060000024233|Registro OK.|
2026|1007|02.06.2026|2053799558103B8060000024202|2053799558103B8060000024202|Registro OK.|
2026|1007|02.06.2026|2053799558101F8050000000892|2053799558101F8050000000892|Registro OK.|
2026|1007|02.06.2026|2053799558103B8060000024200|2053799558103B8060000024200|Registro OK.|
2026|1007|02.06.2026|2053799558103B8060000024211|2053799558103B8060000024211|Registro OK.|
2026|1007|03.06.2026|2053799558103B8050000010183|2053799558103B8050000010183|Registro OK.|
2026|1007|03.06.2026|2053799558103B8050000010184|2053799558103B8050000010184|Registro OK.|
2026|1007|03.06.2026|2053799558103B8050000010185|2053799558103B8050000010185|Registro OK.|
2026|1007|03.06.2026|2053799558103B8070000025221|2053799558103B8070000025221|Registro OK.|
2026|1007|03.06.2026|2053799558103B8070000025222|2053799558103B8070000025222|Registro OK.|
2026|1007|03.06.2026|2053799558103B8070000025225|2053799558103B8070000025225|Registro OK.|
2026|1007|03.06.2026|2053799558103B8070000025226|2053799558103B8070000025226|Registro OK.|
2026|1007|03.06.2026|2053799558103B8070000025227|2053799558103B8070000025227|Registro OK.|
2026|1007|03.06.2026|2053799558103B8070000025228|2053799558103B8070000025228|Registro OK.|
2026|1007|03.06.2026|2053799558103B8070000025229|2053799558103B8070000025229|Registro OK.|
